statement,period,date,description,amount,direction,category,subcategory,note
135,2026-05-16..2026-06-17,2026-05-18,POS Purchase Frankie Fenner Meat,871.20,Dr,Groceries & Eating Out,Groceries,
135,2026-05-16..2026-06-17,2026-05-18,Prepaid Electricity 09001505313,1000.00,Dr,Home & Utilities,Electricity,
135,2026-05-16..2026-06-17,2026-05-18,FNB OB Coll Fnbinvest Xd3N58D14Q,2500.00,Dr,Savings & Investments,FNB Invest,Debited on the 17th/18th - falls twice in this statement period
135,2026-05-16..2026-06-17,2026-05-18,Monthly account service fee,625.00,Dr,Bank Charges & Interest,Service fee,
135,2026-05-16..2026-06-17,2026-05-22,POS Purchase Mr D,470.60,Dr,Groceries & Eating Out,Food delivery,
135,2026-05-16..2026-06-17,2026-05-23,Byc Debit 63026278118,1.20,Dr,Bank Charges & Interest,Misc bank debit,
135,2026-05-16..2026-06-17,2026-05-25,FNB App Payment From Salary,70000.00,Cr,Income,Salary,
135,2026-05-16..2026-06-17,2026-05-25,DebiCheck FNB Connect 8872638615,579.00,Dr,Connectivity & Subscriptions,FNB Connect,
135,2026-05-16..2026-06-17,2026-05-25,Internal D/O FNB Life Fl105Gz98,4106.61,Dr,Insurance & Medical,FNB Life,
135,2026-05-16..2026-06-17,2026-05-26,Magtape Credit Discovery Membership,2500.00,Cr,Income,Discovery refund,
135,2026-05-16..2026-06-17,2026-05-27,Scheduled Trf To Savings,9000.00,Dr,Savings & Investments,Savings transfer,
135,2026-05-16..2026-06-17,2026-05-27,FNB App Payment To Baby Mama,2500.00,Dr,Family Support,Child/family support,
135,2026-05-16..2026-06-17,2026-05-28,POS Purchase Woolworths,74.99,Dr,Groceries & Eating Out,Groceries,
135,2026-05-16..2026-06-17,2026-05-29,POS Purchase Mr D,429.20,Dr,Groceries & Eating Out,Food delivery,
135,2026-05-16..2026-06-17,2026-05-30,Byc Debit 63026278118,0.81,Dr,Bank Charges & Interest,Misc bank debit,
135,2026-05-16..2026-06-17,2026-05-31,Service Charges From 62724872339,100.05,Dr,Bank Charges & Interest,Linked acct charges,
135,2026-05-16..2026-06-17,2026-06-01,Hybrid Subscription Fee Connect Topup,415.00,Dr,Connectivity & Subscriptions,Connect top-up,
135,2026-05-16..2026-06-17,2026-06-01,Hybrid Subscription Fee Connect Topup,145.00,Dr,Connectivity & Subscriptions,Connect top-up,
135,2026-05-16..2026-06-17,2026-06-01,FNB App Payment To Akoo Justin,700.00,Dr,Family Support,Transfer to person,
135,2026-05-16..2026-06-17,2026-06-01,DebiCheck FNB Home 3000017271,69.00,Dr,Debt & Loans,Home loan admin fee,
135,2026-05-16..2026-06-17,2026-06-01,DebiCheck FNB Connect 8858332521,499.00,Dr,Connectivity & Subscriptions,FNB Connect,
135,2026-05-16..2026-06-17,2026-06-01,DebiCheck FNB Connect 8858332324,749.00,Dr,Connectivity & Subscriptions,FNB Connect,
135,2026-05-16..2026-06-17,2026-06-01,Internal D/O FNB Life Fl68Zw53,33.58,Dr,Insurance & Medical,FNB Life (small policy),
135,2026-05-16..2026-06-17,2026-06-01,Internal D/O WesBank Vehicle Finance,5732.59,Dr,Debt & Loans,WesBank vehicle finance,
135,2026-05-16..2026-06-17,2026-06-01,Internal D/O FNB Structured Loan,21828.65,Dr,Debt & Loans,FNB Structured Loan,
135,2026-05-16..2026-06-17,2026-06-01,Magtape Debit Stratum (Netcash),390.00,Dr,Connectivity & Subscriptions,Stratum,
135,2026-05-16..2026-06-17,2026-06-01,Magtape Debit RSAWEB (Netcash),1299.01,Dr,Connectivity & Subscriptions,RSAWEB fibre 1,
135,2026-05-16..2026-06-17,2026-06-01,Magtape Debit RSAWEB (Netcash),1728.00,Dr,Connectivity & Subscriptions,RSAWEB fibre 2,
135,2026-05-16..2026-06-17,2026-06-01,Magtape Debit Discovery Premium,7578.00,Dr,Insurance & Medical,Discovery premium,
135,2026-05-16..2026-06-17,2026-06-01,Magtape Debit Edgekloof Kl17057,198.50,Dr,Home & Utilities,Edgekloof levy,
135,2026-05-16..2026-06-17,2026-06-01,Magtape Debit Netstar,231.38,Dr,Insurance & Medical,Vehicle tracking,
135,2026-05-16..2026-06-17,2026-06-01,Magtape Debit Edgekloof Kl1705701,399.00,Dr,Home & Utilities,Edgekloof levy,
135,2026-05-16..2026-06-17,2026-06-01,Magtape Debit FWT Ri-3744255,3006.22,Dr,Savings & Investments,EasyEquities TFSA,Tax-free savings account contribution
135,2026-05-16..2026-06-17,2026-06-01,Magtape Debit JAC U260619678,3836.27,Dr,Insurance & Medical,JAC insurance,Insurance premium
135,2026-05-16..2026-06-17,2026-06-05,POS Purchase Learnlogic TheSite,1025.11,Dr,Shopping & Other,Education/online,
135,2026-05-16..2026-06-17,2026-06-06,POS Purchase Payfast Stompies Br,1699.00,Dr,Groceries & Eating Out,Eating out / bar,
135,2026-05-16..2026-06-17,2026-06-06,Byc Debit 63026278118,0.89,Dr,Bank Charges & Interest,Misc bank debit,
135,2026-05-16..2026-06-17,2026-06-08,POS Purchase Takealot,669.00,Dr,Shopping & Other,Online shopping,
135,2026-05-16..2026-06-17,2026-06-08,POS Purchase Frankie Fenner Meat,702.68,Dr,Groceries & Eating Out,Groceries,
135,2026-05-16..2026-06-17,2026-06-09,POS Purchase Frozen For You,885.00,Dr,Groceries & Eating Out,Groceries,
135,2026-05-16..2026-06-17,2026-06-13,POS Purchase Mr D,793.96,Dr,Groceries & Eating Out,Food delivery,
135,2026-05-16..2026-06-17,2026-06-13,Byc Debit 63026278118,0.32,Dr,Bank Charges & Interest,Misc bank debit,
135,2026-05-16..2026-06-17,2026-06-15,POS Purchase Mr D,48.00,Dr,Groceries & Eating Out,Food delivery,
135,2026-05-16..2026-06-17,2026-06-15,Airtime Topup 27745894636,125.00,Dr,Connectivity & Subscriptions,Airtime,
135,2026-05-16..2026-06-17,2026-06-17,FNB OB Coll Fnbinvest Xd3N58D14Q,2500.00,Dr,Savings & Investments,FNB Invest,
136,2026-06-17..2026-07-17,2026-06-18,POS Purchase Smokin Joes Cpt,80.00,Dr,Groceries & Eating Out,Eating out,
136,2026-06-17..2026-07-17,2026-06-18,Monthly account service fee,625.00,Dr,Bank Charges & Interest,Service fee,
136,2026-06-17..2026-07-17,2026-06-20,Byc Debit 63026278118,0.04,Dr,Bank Charges & Interest,Misc bank debit,
136,2026-06-17..2026-07-17,2026-06-23,POS Purchase Mr D,52.14,Dr,Groceries & Eating Out,Food delivery,
